DateTime,1. open,2. high,3. low,4. close,5. adjusted close,6. volume,7. dividend amount,8. split coefficient,SYMBOL
2018-07-20,6.79,6.84,6.51,6.54,6.54,2031508,0.0,1.0,CRON
2018-07-19,6.76,6.84,6.69,6.83,6.83,1175292,0.0,1.0,CRON
2018-07-18,6.95,6.98,6.75,6.78,6.78,1270935,0.0,1.0,CRON
2018-07-17,6.71,6.93,6.57,6.92,6.92,1694341,0.0,1.0,CRON
2018-07-16,7.1,7.1,6.66,6.73,6.73,2145091,0.0,1.0,CRON
2018-07-13,7.1,7.1,6.92,7.06,7.06,1577144,0.0,1.0,CRON
2018-07-12,7.05,7.12,6.98,7.05,7.05,1668854,0.0,1.0,CRON
2018-07-11,6.92,7.05,6.81,6.97,6.97,1363315,0.0,1.0,CRON
2018-07-10,6.98,7.19,6.91,6.98,6.98,2409518,0.0,1.0,CRON
2018-07-09,6.95,7.07,6.91,6.95,6.95,1902265,0.0,1.0,CRON
2018-07-06,6.97,6.98,6.76,6.96,6.96,1364187,0.0,1.0,CRON
2018-07-05,6.89,7.0,6.85,6.97,6.97,1673348,0.0,1.0,CRON
2018-07-03,6.98,6.98,6.65,6.78,6.78,1705073,0.0,1.0,CRON
2018-07-02,6.62,7.0407,6.55,6.96,6.96,3169061,0.0,1.0,CRON
2018-06-29,6.52,6.74,6.4,6.52,6.52,2744270,0.0,1.0,CRON
2018-06-28,6.32,6.6,6.2001,6.42,6.42,2982303,0.0,1.0,CRON
2018-06-27,6.65,6.77,6.09,6.18,6.18,5461149,0.0,1.0,CRON
2018-06-26,6.92,6.98,6.63,6.79,6.79,3740231,0.0,1.0,CRON
2018-06-25,7.3,7.3,6.87,6.9,6.9,4233431,0.0,1.0,CRON
2018-06-22,7.77,8.11,7.15,7.24,7.24,7541745,0.0,1.0,CRON
2018-06-21,7.25,7.8534,7.25,7.67,7.67,8154221,0.0,1.0,CRON
2018-06-20,7.2,7.399,6.87,7.22,7.22,7029862,0.0,1.0,CRON
2018-06-19,6.74,6.98,6.51,6.86,6.86,3766682,0.0,1.0,CRON
2018-06-18,6.98,6.98,6.7,6.78,6.78,2722203,0.0,1.0,CRON
2018-06-15,6.84,7.0486,6.805,7.02,7.02,2307678,0.0,1.0,CRON
2018-06-14,7.07,7.29,6.87,6.93,6.93,3434009,0.0,1.0,CRON
2018-06-13,6.7,7.18,6.62,7.12,7.12,3996834,0.0,1.0,CRON
2018-06-12,6.95,7.03,6.68,6.77,6.77,4475871,0.0,1.0,CRON
2018-06-11,7.23,7.32,6.95,6.96,6.96,3861468,0.0,1.0,CRON
2018-06-08,7.51,7.61,6.76,7.23,7.23,8499977,0.0,1.0,CRON
